seed,missing_rate,statistic,value
2,0.5,theta_l,38.48000861173259
2,0.5,tajimas_d,0.2409567044960978
2,0.6,pi,39.819016268146584
2,0.6,theta_w,40.51182240085441
2,0.6,theta_h,36.28360782263619
2,0.6,theta_l,38.051312045391384
2,0.6,tajimas_d,-0.06331070273038081
3,0.0,pi,32.09474747474748
3,0.0,theta_w,32.062564384078335
3,0.0,theta_h,35.44060606060606
3,0.0,theta_l,33.76767676767677
3,0.0,tajimas_d,0.0033531585849570712
3,0.05,pi,32.072162144818776
3,0.05,theta_w,32.19267381858759
3,0.05,theta_h,35.36762456776015
3,0.05,theta_l,33.71989335628946
3,0.05,tajimas_d,-0.012566077552226197
3,0.1,pi,32.20994710964855
3,0.1,theta_w,32.51329228963383
3,0.1,theta_h,35.54549942235308
3,0.1,theta_l,33.87772326600082
3,0.1,tajimas_d,-0.03145998639447824
3,0.2,pi,32.36930634397539
3,0.2,theta_w,31.71211740885014
3,0.2,theta_h,33.45523629789846
3,0.2,theta_l,32.912271320936924
3,0.2,tajimas_d,0.07070832918060754
3,0.3,pi,31.834489268408426
3,0.3,theta_w,32.39002067021241
3,0.3,theta_h,33.68905648085772
3,0.3,theta_l,32.761772874633074
3,0.3,tajimas_d,-0.05933827247754362
3,0.4,pi,32.477910089659616
3,0.4,theta_w,31.968896427308785
3,0.4,theta_h,36.29072777911253
3,0.4,theta_l,34.384318934386066
3,0.4,tajimas_d,0.05598062500228869
3,0.5,pi,32.39543713674245
3,0.5,theta_w,32.66781494688063
3,0.5,theta_h,31.885149798746053
3,0.5,theta_l,32.14029346774426
3,0.5,tajimas_d,-0.029930571667266398
3,0.6,pi,32.758310816728205
3,0.6,theta_w,32.91003630845309
3,0.6,theta_h,36.43661902850876
3,0.6,theta_l,34.597464922618485
3,0.6,tajimas_d,-0.017014010284778915
4,0.0,pi,26.490909090909092
4,0.0,theta_w,32.83515629694769
4,0.0,theta_h,31.24646464646465
4,0.0,theta_l,28.868686868686865
4,0.0,tajimas_d,-0.6457993798618202
4,0.05,pi,26.45306586990068
4,0.05,theta_w,32.97050024352562
4,0.05,theta_h,31.452294279864535
4,0.05,theta_l,28.952680074882608
4,0.05,tajimas_d,-0.6638597449912949
4,0.1,pi,26.424485215156253
4,0.1,theta_w,33.129259890565024
4,0.1,theta_h,31.6014056508862
4,0.1,theta_l,29.01294543302123
4,0.1,tajimas_d,-0.6832077875500735
4,0.2,pi,26.65906423428754
4,0.2,theta_w,33.545203735813296
4,0.2,theta_h,30.709284696801834
4,0.2,theta_l,28.684174465544686
4,0.2,tajimas_d,-0.7015861782049612
4,0.3,pi,26.575777269108787
4,0.3,theta_w,33.617180245428884
4,0.3,theta_h,31.150056265993896
4,0.3,theta_l,28.86291676755134
4,0.3,tajimas_d,-0.7248505642346319
4,0.4,pi,25.6646733457766
4,0.4,theta_w,33.16586962698107
4,0.4,theta_h,31.63349573998445
4,0.4,theta_l,28.649084542880527
4,0.4,tajimas_d,-0.7973831091097129
4,0.5,pi,26.42392857805575
4,0.5,theta_w,33.08654652110419
4,0.5,theta_h,31.889007195797614
4,0.5,theta_l,29.156467886926684
4,0.5,tajimas_d,-0.722441633807515
4,0.6,pi,26.424405753907436
4,0.6,theta_w,34.37440332582284
4,0.6,theta_h,33.26578694245632
4,0.6,theta_l,29.84509634818188
4,0.6,tajimas_d,-0.8533492994811142
