start,stop,pi,theta_w,segregating_sites,singletons,max_daf,tajimas_d
27000185,27100185,0.0009744573418054483,0.0034446806822829145,470.0,196.0,0.995,-2.298015211699669
27100185,27200185,0.0010756907826805252,0.003815910234778876,409.0,172.0,0.995,-2.297892630786919
27200185,27300185,0.0008167174560890125,0.002728135296232366,383.0,164.0,0.975,-2.240304551963863
27300185,27400185,0.000745105907694325,0.002499863120165679,403.0,167.0,0.97,-2.2458046613322837
27400185,27500185,0.001343389854701234,0.004649005685036479,496.0,222.0,0.985,-2.2796983168878655
27500185,27600185,0.0009884418839696408,0.002983139299645842,323.0,130.0,0.845,-2.133405003010601
27600185,27700185,0.0019404751525627512,0.006065265201252693,425.0,169.0,0.92,-2.1770838207249743
27700185,27800185,0.00153255775976137,0.004975758748946006,473.0,200.0,0.745,-2.2176614386766706
27800185,27900185,0.00393975512356642,0.009114638016762804,304.0,129.0,0.99,-1.8098977952096662
27900185,28000185,0.0018423937246407117,0.004808632461540778,413.0,149.0,0.985,-1.9741197472502259
28000185,28100185,0.002592050112312718,0.0073365112467981925,374.0,175.0,0.865,-2.0672436042076194
28100185,28200185,0.0007613523995103517,0.0019238849838857158,320.0,128.0,0.985,-1.9276992368235366
28200185,28300185,0.0005573527301753268,0.0015646719166409243,336.0,131.0,0.995,-2.05516768754726
28300185,28400185,0.001165037257984762,0.002904055777645398,334.0,139.0,0.995,-1.9114719243538392
28400185,28500185,0.0009437001792035377,0.002507770091376048,291.0,108.0,0.93,-1.9868982066151815
28500185,28600185,0.0005772572540119947,0.001132843648402654,165.0,66.0,0.92,-1.5443578150369124
28600185,28700185,0.001362198421438754,0.0028595366070270204,303.0,137.0,0.99,-1.6691526831147907
28700185,28800185,0.0018345815257565705,0.0033171273434548904,236.0,89.0,0.955,-1.4187383505319977
28800185,28900185,0.0009321931493757381,0.002186052197833043,370.0,175.0,0.99,-1.8332681250630423
28900185,29000185,0.0019683623742150574,0.003937392017572602,352.0,136.0,0.9,-1.5973908662143381
29000185,29100185,0.0021079949473286593,0.004848575018565126,400.0,149.0,0.995,-1.8082691449123591
29100185,29200185,0.000457812684763859,0.00113166585754177,296.0,107.0,0.935,-1.8974357468348126
29200185,29300185,0.0012689542817139348,0.0032162175413477413,373.0,135.0,0.925,-1.935350274907702
29300185,29400185,0.0012483025568871913,0.002978663871719689,380.0,138.0,0.955,-1.857343697008454
29400185,29500185,0.0003530972923876572,0.0011198994656645392,422.0,187.0,0.995,-2.1917679487888644
29500185,29600185,0.00017394192436301446,0.0006423703602357316,339.0,154.0,0.995,-2.3281588291847473
29600185,29700185,0.00022427963307931653,0.0008944193600900646,447.0,232.0,0.99,-2.399797786798579
29700185,29800185,0.00019158757835435525,0.0007834266501452829,409.0,197.0,0.865,-2.4173961665965895
29800185,29900185,0.00011780620466428544,0.0005151549614585618,278.0,111.0,0.99,-2.455438569408552
29900185,30000185,0.0003347930987151999,0.0010775344502175932,389.0,178.0,0.97,-2.204462074237794
30000185,30100185,0.001641152547947833,0.005144733396313762,469.0,174.0,0.95,-2.1822575088186995
30100185,30200185,0.0013509102181574425,0.003863436817782029,416.0,164.0,0.985,-2.081421694124994
30200185,30300185,0.0014109317958628466,0.003853111463714275,368.0,139.0,0.935,-2.0256998818822196
30300185,30400185,0.001757143769695941,0.0054231422867035235,451.0,176.0,0.91,-2.1653631564379237
30400185,30500185,0.0014205747725230687,0.004636059815245218,374.0,155.0,0.565,-2.2171333483652633
30500185,30600185,0.001759234708975758,0.004989809256806908,421.0,171.0,0.925,-2.0724070115825928
30600185,30700185,0.002061251958388652,0.005001388807920615,337.0,121.0,0.97,-1.8767118956279358
30700185,30800185,0.0027272208360673658,0.007004551059375077,402.0,153.0,0.985,-1.953671532951285
30800185,30900185,0.0013141379953368606,0.0041132368149794625,498.0,187.0,0.985,-2.1819034640320853
30900185,31000185,0.002035738117610901,0.005537230348437752,420.0,149.0,0.995,-2.024084833850116
31000185,31100185,0.0005005247371059752,0.0015955378165098096,289.0,137.0,0.99,-2.1861158204497233
31100185,31200185,0.0002965881477590604,0.0008453229380956421,256.0,111.0,0.64,-2.0636492025668827
31200185,31300185,0.0005248864439925138,0.0017971473102926811,364.0,163.0,0.85,-2.2622633247806347
31300185,31400185,0.000245900403183488,0.0007700082903137056,220.0,101.0,0.865,-2.1576838273332464
31400185,31500185,0.0009314010355280085,0.0034578341491890087,455.0,217.0,0.825,-2.340622667285953
31500185,31600185,0.0009972319787174629,0.003390531771301736,406.0,186.0,0.755,-2.2585847964108368
31600185,31700185,0.0006218816109168497,0.0025289595284077662,439.0,213.0,0.995,-2.414887814714365
31700185,31800185,0.00028629266155116796,0.0009346681559764914,280.0,113.0,0.96,-2.208584981072675
31800185,31900185,0.00015228911660531696,0.0004530327259889241,180.0,81.0,0.92,-2.09504932358252
31900185,32000185,0.0004478768318313622,0.0013650962145317649,316.0,137.0,0.98,-2.1431182319799422
32000185,32100185,0.0016403238423380638,0.005611464110330917,405.0,174.0,0.965,-2.264301377548107
32100185,32200185,0.00011236671478060973,0.00039020859039242984,177.0,87.0,0.97,-2.246201854791633
32200185,32300185,0.0008280155223261318,0.0026809896596168953,447.0,198.0,0.865,-2.213730221329084
32300185,32400185,0.000305134360476073,0.0010020695336574105,330.0,152.0,0.96,-2.21969037032228
32400185,32500185,1.9891017367627795e-06,2.047537828012345e-05,12.0,8.0,0.025,-2.1962707888964963
32500185,32600185,2.0885587152801655e-06,2.04679942958099e-05,12.0,7.0,0.02,-2.184365240159694
32600185,32700185,3.4760146435419437e-06,1.1934881065640154e-05,7.0,1.0,0.06,-1.5060000484269227
32700185,32800185,0.0001483787113717336,0.000580939829711346,224.0,92.0,0.92,-2.361212578055523
32800185,32900185,0.0017771710737131642,0.006051065697097136,389.0,170.0,0.975,-2.258853857235933
32900185,33000185,0.0017633447081673108,0.005494334437138899,403.0,176.0,0.975,-2.1726017981452728
33000185,33100185,0.0006058871634504812,0.0020343339757759177,467.0,197.0,0.995,-2.249990031295613
33100185,33200185,0.0009943212482460063,0.0039621261905513055,585.0,269.0,0.985,-2.404898418488331
33200185,33300185,0.0008733162170979704,0.0028711374342358224,454.0,211.0,0.995,-2.2290555258950002
33300185,33400185,0.0003620748328373045,0.0011896551218396206,335.0,144.0,0.87,-2.220624710044046
33400185,33500185,0.000822865923365691,0.0028780446108159956,464.0,196.0,0.995,-2.288040030925896
33500185,33600185,0.0016579643982624973,0.005367828640320296,465.0,197.0,0.995,-2.2145222005861527
33600185,33700185,0.0016601934104434803,0.005245279222246429,468.0,197.0,0.965,-2.1901744682726547
33700185,33800185,0.0021276078491600796,0.005445080763995806,429.0,153.0,0.99,-1.9506044699960132
33800185,33900185,0.00034912853054088546,0.0010754513121914576,324.0,128.0,0.995,-2.15490117495355
33900185,34000185,0.0005190818648866632,0.0015683196400084751,322.0,136.0,0.99,-2.1344717569389067
34000185,34100185,0.0005850776729477309,0.0017924830031690118,335.0,144.0,0.86,-2.150226208703734
34100185,34200185,0.00031808324005094064,0.0010488255336291012,300.0,131.0,0.905,-2.220591178275141
34200185,34300185,0.000742516822409401,0.0022304729441816155,429.0,165.0,0.99,-2.135793793039952
34300185,34400185,0.0006194332997811185,0.0025162737193869652,424.0,187.0,0.99,-2.413154460487633
34400185,34500185,0.0013662852075503617,0.0042019573774869645,464.0,206.0,0.98,-2.1622999108054914
34500185,34600185,0.0009321779036697995,0.00338442792605172,368.0,161.0,0.995,-2.3157333030023977
34600185,34700185,0.00017268116306716464,0.0006626660521552844,225.0,116.0,0.895,-2.345011286723288
34700185,34800185,0.0010926992351954802,0.003475527851288432,448.0,209.0,0.99,-2.195999916345598
34800185,34900185,0.0010012879734066576,0.003956025390150847,443.0,210.0,0.995,-2.3920520085021586
34900185,35000185,0.0008157978589532152,0.00318815854043006,489.0,234.0,0.985,-2.3854432069619413
35000185,35100185,0.0015021810047986992,0.004822576544213892,440.0,199.0,0.945,-2.2049119996060074
35100185,35200185,0.0010805412174819322,0.0034352997920124324,386.0,166.0,0.995,-2.191991209125282
35200185,35300185,0.0015236760089912251,0.005151037307452396,505.0,231.0,0.99,-2.258145569162192
35300185,35400185,0.0010614952888151161,0.003927081760139113,503.0,231.0,0.995,-2.3398277491271
35400185,35500185,0.0007083920977392338,0.002469601038165078,391.0,176.0,0.985,-2.2808988693002283
