window_start,window_stop,n_variants,fst,fst_wc,dxy,da
2130185.0,2230185.0,1458,0.014644116476782824,0.014644116476782829,0.0006642712073938894,9.727664933249292e-06
2140185.0,2240185.0,1470,0.012550516035606472,0.012550516035606479,0.0005850185593480506,7.342284810225134e-06
2150185.0,2250185.0,1426,0.013174377076215826,0.013174377076215828,0.0005229478560533304,6.889512246845251e-06
2160185.0,2260185.0,1484,0.014512846271322542,0.01451284627132254,0.0005316218796889919,7.715346614397818e-06
2170185.0,2270185.0,1455,0.015365950937213409,0.015365950937213406,0.0005753718297352795,8.841135306366994e-06
2180185.0,2280185.0,1452,0.014677401047613536,0.01467740104761353,0.0007215733229075033,1.0590821045572527e-05
2190185.0,2290185.0,1353,0.013812293076188155,0.01381229307618815,0.0007822677575845341,1.0804911531810124e-05
2200185.0,2300185.0,1360,0.01274357131693842,0.01274357131693841,0.0006524581622987055,8.314647122572183e-06
2210185.0,2310185.0,1431,0.011839630461751315,0.011839630461751304,0.0006017592188522802,7.124606778163074e-06
2220185.0,2320185.0,1540,0.012502783147677245,0.012502783147677242,0.0007212806714824671,9.018015824156287e-06
2230185.0,2330185.0,1582,0.016017197988626736,0.016017197988626733,0.0007739392185238785,1.2396337694260108e-05
2240185.0,2340185.0,1556,0.018442594224610132,0.018442594224610125,0.0008800903496137227,1.6231149198921227e-05
2250185.0,2350185.0,1587,0.019411982530856763,0.019411982530856756,0.0008724824775876121,1.693661461340939e-05
2260185.0,2360185.0,1583,0.02050466786075084,0.020504667860750843,0.00098773180642778,2.0253112626301217e-05
2270185.0,2370185.0,1512,0.021581164782053595,0.021581164782053592,0.0010275809988827742,2.2176394863796326e-05
2280185.0,2380185.0,1545,0.02386424628957999,0.02386424628957999,0.0010194997684113015,2.4329593565537145e-05
2290185.0,2390185.0,1632,0.024076764766869527,0.024076764766869527,0.001047026549399967,2.5209011934570132e-05
2300185.0,2400185.0,1591,0.02468967038743766,0.02468967038743766,0.0013407061645978931,3.310159329032771e-05
2310185.0,2410185.0,1578,0.025660409479507585,0.025660409479507592,0.0017984178131788561,4.614813750141051e-05
2320185.0,2420185.0,1487,0.0262085207681586,0.026208520768158595,0.002273332325675131,5.958067747038277e-05
2330185.0,2430185.0,1428,0.023654558153621736,0.023654558153621733,0.0021450032306698256,5.0739103659586154e-05
2340185.0,2440185.0,1407,0.02122347733536509,0.021223477335365084,0.0021547078651685393,4.573039354073743e-05
2350185.0,2450185.0,1411,0.023099011162648776,0.023099011162648776,0.002145092592592593,4.954951774121134e-05
2360185.0,2460185.0,1387,0.022189657891059887,0.022189657891059884,0.002185286564725108,4.849076126518003e-05
2370185.0,2470185.0,1404,0.02004884210146732,0.02004884210146732,0.0021491174079665545,4.308731556983652e-05
2380185.0,2480185.0,1295,0.018142370898662878,0.018142370898662875,0.002261288490661282,4.1025134506454485e-05
2390185.0,2490185.0,1171,0.01823654621422053,0.018236546214220516,0.0016874384483971459,3.0773049247846745e-05
2400185.0,2500185.0,1190,0.017493071651886623,0.01749307165188662,0.0014421950789311226,2.5228421851740527e-05
2410185.0,2510185.0,1128,0.015295119649289762,0.015295119649289755,0.0013750770206596593,2.1031967557978442e-05
2420185.0,2520185.0,1108,0.01649444142467093,0.01649444142467092,0.0014258633494244337,2.351881949666637e-05
2430185.0,2530185.0,1243,0.01301556240159967,0.013015562401599663,0.0013144622444050877,1.710846536660122e-05
2440185.0,2540185.0,1264,0.012584151303611135,0.01258415130361113,0.0012615931218592966,1.587607872907249e-05
2450185.0,2550185.0,1229,0.010970552511088019,0.01097055251108802,0.0012909325364336007,1.4162243179216783e-05
2460185.0,2560185.0,1243,0.009776390819021064,0.009776390819021064,0.0012478226804123712,1.2199202196549927e-05
2470185.0,2570185.0,1283,0.012115500402040123,0.012115500402040128,0.0012861396969451424,1.5582226015418608e-05
2480185.0,2580185.0,1295,0.015270894541557351,0.015270894541557363,0.0013036528580603727,1.990794531424002e-05
2490185.0,2590185.0,1352,0.017490217115642456,0.017490217115642463,0.0017405982022936255,3.0443440469212932e-05
2500185.0,2600185.0,1359,0.020960974560693315,0.020960974560693322,0.0020130328798185944,4.2195130983716866e-05
2510185.0,2610185.0,1360,0.02703368987958541,0.027033689879585418,0.00237125928546162,6.41038881472565e-05
2520185.0,2620185.0,1464,0.028607388815034447,0.02860738881503446,0.00221356943250215,6.332444142466435e-05
2530185.0,2630185.0,1432,0.029691178191256343,0.02969117819125635,0.002472018779342723,7.33971500695969e-05
2540185.0,2640185.0,1456,0.029877911618115816,0.029877911618115826,0.0023822875521950122,7.117777693342019e-05
2550185.0,2650185.0,1438,0.03061293467060371,0.030612934670603713,0.0023267991775188486,7.123015121299907e-05
2560185.0,2660185.0,1406,0.029571693021863677,0.02957169302186368,0.0024727288878360772,7.31227795973828e-05
2570185.0,2670185.0,1405,0.028866639897390356,0.02886663989739036,0.0022269909552172958,6.42857459590031e-05
2580185.0,2680185.0,1498,0.026192708717032616,0.026192708717032616,0.0021964433153382028,5.753079997212672e-05
2590185.0,2690185.0,1540,0.023203002974704748,0.023203002974704744,0.0021551466065204013,5.0005873122017266e-05
2600185.0,2700185.0,1533,0.022903008729835944,0.022903008729835944,0.002274827146048293,5.210038598481183e-05
